likeCount,dislikeCount,shareCount,commentCount,bookmarkCount,ratingValue,pageViews,clickEvents,scrollDepth,timeOnPage,sessionDuration,sessionCount,commentText,sentimentScore,feedbackCategory,deviceType,browserName,osName,screenResolution,networkType,ipAddress,geoLocation,locale,userTier,interestTags,ageRange,gender,funnelStage,cartItemsCount,abandonedCartFlag,abTestGroup,followerCount,followingCount,groupMemberships,mentionCount,community,like_per_comment,share_per_view,interaction_intensity,engagement_score,activity_ratio
539,12,334,206,96,3.3,490,104,83.3,562.0,1350.8,3,Great!,-0.13,Positive,Mobile,Opera,iOS,1440x900,4G,238.236.91.14,"49.679642, 87.880430",de_DE,Premium,Travel,55+,Other,Decision,10,False,Variant B,8050,491,37,41,News,2.616504854368932,0.6816326530612244,644,366.6,0.4160497482973053
317,32,255,133,44,3.1,580,136,76.1,290.6,1130.7,29,Needs improvement,0.3,Neutral,Tablet,Opera,iOS,1920x1080,4G,157.187.152.132,"-54.834126, -113.515034",en_GB,Enterprise,Fitness,35-44,Female,Awareness,6,True,Variant B,695,833,6,96,Sports,2.3834586466165413,0.4396551724137931,524,234.3,0.2570089325196781
880,88,160,57,182,4.0,957,155,89.0,109.3,2382.1,9,Awesome!,0.97,Negative,Desktop,Chrome,Linux,2560x1440,5G,132.186.113.155,"59.240413, 71.135619",en_US,Free,Food,45-54,Female,Consideration,17,False,Variant A,4401,3835,43,13,News,15.43859649122807,0.1671891327063741,372,429.59999999999997,0.04588388396792746
242,5,16,150,156,3.6,813,47,37.5,27.8,2977.8,32,Great!,0.18,Negative,Mobile,Firefox,MacOS,1366x768,WiFi,235.190.20.121,"-23.908279, -10.254953",en_GB,Free,Fitness,35-44,Other,Decision,18,True,Control,1669,2459,44,1,Sports,1.6133333333333333,0.01968019680196802,213,147.20000000000002,0.009335751225737121
924,38,267,282,17,1.4,317,40,60.5,104.0,580.6,35,Needs improvement,0.29,Negative,Tablet,Firefox,Linux,1920x1080,Ethernet,14.121.27.143,"-88.809186, -47.879415",en_GB,Enterprise,Travel,55+,Other,Decision,7,False,Variant B,586,1010,26,94,News,3.276595744680851,0.8422712933753943,589,507.8,0.1791250430589046
156,30,360,31,112,3.0,16,169,72.2,532.6,2320.1,10,Not bad,-0.75,Neutral,Desktop,Opera,Windows,1920x1080,Ethernet,57.67.5.17,"-15.050412, -174.038338",en_US,Free,Food,45-54,Male,Awareness,12,False,Variant A,2191,4380,43,70,News,5.032258064516129,22.5,560,187.79999999999998,0.22955907072970994
650,64,434,191,181,2.4,49,82,12.8,562.0,2034.5,16,Awesome!,0.15,Positive,Tablet,Safari,iOS,1280x720,WiFi,79.128.184.242,"32.823953, 70.567031",en_GB,Enterprise,Fitness,55+,Male,Consideration,6,False,Control,7585,888,44,76,Sports,3.4031413612565444,8.857142857142858,707,446.5,0.27623494716146474
729,81,295,94,74,1.9,317,32,13.4,491.5,799.7,31,Needs improvement,0.55,Negative,Mobile,Firefox,iOS,1366x768,WiFi,177.251.168.23,"-9.708909, -128.784714",en_US,Free,Tech,18-24,Female,Awareness,2,False,Variant B,7160,2724,21,74,Tech,7.75531914893617,0.9305993690851735,421,406.3,0.6146054770538951
313,86,258,137,115,3.7,999,18,51.1,25.3,2361.3,21,Awesome!,0.13,Neutral,Desktop,Edge,Linux,1920x1080,5G,22.255.126.89,"0.877337, -157.006074",de_DE,Enterprise,Food,35-44,Female,Awareness,17,False,Control,2902,487,38,56,News,2.2846715328467155,0.25825825825825827,413,241.5,0.010714436962690043
191,13,409,19,65,4.7,963,138,27.8,384.9,403.2,17,Needs improvement,-0.49,Negative,Tablet,Opera,Linux,1440x900,Ethernet,147.83.28.54,"76.920142, 12.578650",en_GB,Enterprise,Fashion,55+,Other,Decision,5,True,Variant B,8515,498,28,8,Gaming,10.052631578947368,0.42471443406022846,566,209.4,0.9546130952380952
374,72,277,296,99,4.3,361,62,83.4,173.2,2542.0,7,Could be better,-0.87,Positive,Mobile,Opera,iOS,2560x1440,Ethernet,138.14.35.178,"47.412607, 25.989952",es_ES,Enterprise,Fashion,35-44,Male,Decision,6,False,Control,9313,3366,33,77,Gaming,1.2635135135135136,0.7673130193905817,635,301.79999999999995,0.06813532651455546
663,74,494,85,71,4.5,890,78,43.6,364.0,445.4,26,Not bad,0.04,Positive,Mobile,Firefox,Windows,1440x900,WiFi,236.12.80.42,"-45.133531, 124.157880",de_DE,Enterprise,Travel,55+,Female,Decision,13,False,Variant A,4003,2569,34,64,News,7.8,0.5550561797752809,657,437.5,0.8172429277054334
285,43,425,285,167,4.8,437,178,67.9,424.1,3341.5,21,Could be better,-0.06,Negative,Mobile,Firefox,Linux,2560x1440,WiFi,19.201.75.71,"67.850955, 167.573842",es_ES,Free,Fitness,55+,Other,Consideration,17,False,Control,8739,594,32,64,Sports,1.0,0.9725400457665904,888,315.2,0.12691904833158763
771,45,153,186,191,2.7,750,66,44.5,221.1,1891.1,8,Not bad,-0.25,Neutral,Mobile,Chrome,iOS,1440x900,4G,59.148.97.240,"68.941622, 70.220210",en_US,Free,Tech,35-44,Other,Awareness,8,False,Control,1524,2240,11,90,Tech,4.145161290322581,0.204,405,410.6,0.11691608058801756
254,27,0,212,78,3.7,575,59,32.1,147.6,402.8,49,Needs improvement,0.02,Positive,Desktop,Opera,MacOS,2560x1440,5G,215.223.216.184,"-79.253916, 134.055501",de_DE,Free,Travel,55+,Other,Consideration,17,False,Control,8767,4046,11,18,News,1.1981132075471699,0.0,271,151.8,0.3664349553128103
459,65,157,153,149,4.0,544,26,68.5,499.4,1036.8,1,Could be better,-0.87,Negative,Tablet,Safari,MacOS,1280x720,5G,83.252.13.242,"17.345793, 172.789932",en_US,Free,Fitness,45-54,Female,Consideration,5,False,Variant A,3001,4599,15,39,Sports,3.0,0.28860294117647056,336,276.2,0.4816743827160494
980,81,49,283,179,1.4,416,19,63.0,338.9,1855.1,18,Not bad,0.37,Positive,Mobile,Safari,Linux,1366x768,5G,91.2.152.215,"-51.142092, -158.622776",fr_FR,Enterprise,Tech,35-44,Female,Decision,9,True,Variant B,1186,1767,25,22,Tech,3.462897526501767,0.11778846153846154,351,481.2,0.18268556951107756
527,72,27,186,165,4.2,860,93,70.8,343.9,2796.6,10,Needs improvement,0.43,Neutral,Desktop,Chrome,Windows,1366x768,Ethernet,171.63.199.43,"28.494057, -42.308438",en_US,Free,Fashion,25-34,Other,Consideration,13,False,Variant B,7481,1872,30,3,Gaming,2.8333333333333335,0.031395348837209305,306,272.6,0.12297075019666738
881,74,10,79,154,3.4,68,2,17.7,263.9,1901.6,37,Could be better,0.31,Neutral,Mobile,Firefox,iOS,1366x768,4G,24.225.195.95,"-47.617658, -140.864274",es_ES,Premium,Fashion,18-24,Female,Consideration,19,False,Variant A,2487,3167,25,47,Gaming,11.151898734177216,0.14705882352941177,91,386.6,0.13877787126630206
687,74,435,91,41,2.8,14,193,74.6,101.6,1143.0,7,Could be better,-0.38,Positive,Desktop,Edge,MacOS,1920x1080,Ethernet,94.36.61.28,"-5.001804, -120.612112",en_GB,Free,Food,55+,Female,Awareness,4,False,Variant A,9801,2511,10,44,News,7.549450549450549,31.071428571428573,719,427.6,0.08888888888888888
387,24,36,285,72,2.7,602,24,86.9,267.0,1585.7,27,Could be better,-0.61,Neutral,Mobile,Opera,MacOS,1440x900,4G,80.71.198.152,"81.155855, -167.170113",fr_FR,Free,Travel,18-24,Female,Decision,5,True,Control,2011,3080,45,88,News,1.3578947368421053,0.059800664451827246,345,229.8,0.1683798953143722
730,27,351,8,164,4.8,296,121,32.7,160.0,2563.1,42,Not bad,0.28,Positive,Tablet,Firefox,Windows,1366x768,Ethernet,234.19.167.75,"20.684173, 159.152183",en_US,Free,Tech,25-34,Male,Decision,0,True,Variant A,7936,2210,23,41,Tech,91.25,1.1858108108108107,480,415.3,0.062424407943505913
645,60,41,266,23,3.7,21,74,78.8,175.7,3271.8,6,Great!,-0.76,Neutral,Tablet,Edge,iOS,1440x900,5G,10.172.100.18,"-17.116892, 167.291758",en_US,Enterprise,Food,35-44,Female,Consideration,14,False,Variant A,3541,4707,26,40,News,2.424812030075188,1.9523809523809523,381,325.8,0.05370132648694907
161,29,289,213,96,4.8,514,87,55.9,517.9,3314.8,3,Could be better,0.66,Negative,Tablet,Chrome,iOS,1920x1080,WiFi,127.32.4.14,"57.368681, -44.205722",fr_FR,Enterprise,Food,25-34,Female,Awareness,6,True,Variant B,1105,4571,48,81,News,0.755868544600939,0.5622568093385214,589,203.3,0.15623868710027752
852,45,279,243,20,3.4,363,65,30.2,217.9,3022.6,48,Awesome!,0.87,Neutral,Mobile,Chrome,MacOS,1280x720,5G,147.143.212.253,"-26.539869, 105.115605",en_US,Free,Fashion,35-44,Female,Decision,12,False,Variant A,8306,929,16,21,Gaming,3.506172839506173,0.768595041322314,587,475.1,0.07209025342420433
690,63,139,53,88,2.3,973,73,12.5,515.7,3532.9,5,Needs improvement,-0.22,Negative,Tablet,Safari,Linux,1280x720,Ethernet,63.29.67.151,"-67.727685, 127.601818",de_DE,Premium,Fitness,35-44,Male,Decision,10,True,Variant A,3795,2225,43,78,Sports,13.018867924528301,0.14285714285714285,265,337.1,0.14597073225961676
48,40,53,128,21,1.5,546,120,68.9,268.7,1077.2,36,Not bad,0.74,Negative,Desktop,Firefox,MacOS,1280x720,4G,140.78.78.84,"40.618549, -112.677372",en_US,Free,Fashion,55+,Female,Decision,7,False,Variant B,325,3434,38,19,Gaming,0.375,0.09706959706959707,301,62.800000000000004,0.24944300037133307
534,59,31,180,106,1.4,432,195,43.9,189.9,525.4,9,Awesome!,-0.33,Neutral,Mobile,Firefox,iOS,2560x1440,Ethernet,213.162.119.18,"-79.244948, -79.266207",es_ES,Premium,Fashion,55+,Male,Awareness,18,True,Control,8243,2872,38,2,Gaming,2.966666666666667,0.07175925925925926,406,269.50000000000006,0.3614389036924249
675,15,129,173,139,4.7,267,62,66.2,545.6,3219.3,9,Could be better,-0.94,Negative,Mobile,Firefox,MacOS,1920x1080,Ethernet,100.136.186.25,"-85.299357, -48.776906",en_US,Enterprise,Fitness,55+,Other,Decision,7,False,Variant B,6576,97,23,40,Sports,3.901734104046243,0.48314606741573035,364,357.2,0.1694778367968192
314,91,24,149,57,3.5,421,26,16.6,270.1,708.6,8,Awesome!,-0.15,Positive,Mobile,Edge,MacOS,1280x720,4G,98.34.74.59,"-26.106108, -112.947324",es_ES,Free,Food,25-34,Female,Decision,12,False,Control,453,1471,27,57,News,2.1073825503355703,0.057007125890736345,199,168.3,0.38117414620378215
626,16,41,251,68,1.9,191,173,49.4,179.5,2329.7,44,Great!,0.34,Positive,Desktop,Safari,Android,1440x900,5G,39.138.214.75,"10.973283, 126.219581",en_GB,Premium,Travel,45-54,Female,Consideration,15,False,Variant B,9224,1736,22,55,News,2.49402390438247,0.21465968586387435,465,319.7,0.07704854702322188
